Location,Source,Category,Id,Description,ForensicValue,Comment
all,Application,error,1000,Application Error,,
all,Application,error,1001,Windows Error Reporting,,
all,Application,error,1002,Application Hang,,
all,Microsoft-Windows-PowerShell/ETW/,pwsh,53504,PowerShell CommandExecution Event,,
all,Microsoft-Windows-PowerShell/Operational,pwsh,4103,Module logging and pipeline output,,PowerShell 5 event
all,Microsoft-Windows-PowerShell/Operational,pwsh,4104,Script Block Logging,,PowerShell 5 event
all,Microsoft-Windows-PowerShell/Operational,pwsh,8193,Pipeline Execution Start,,PowerShell 5 event
all,Microsoft-Windows-PowerShell/Operational,pwsh,8194,Pipeline Execution Stop,,PowerShell 5 event
all,Microsoft-Windows-PowerShell/Operational,pwsh,8197,Command Invocation,,PowerShell 5 event
all,Microsoft-Windows-PowerShellCore/Operational,pwsh,40961,PowerShell Core Engine Start,,PowerShell 7 event
all,Microsoft-Windows-PowerShellCore/Operational,pwsh,40962,PowerShell Core Engine Stop,,PowerShell 7 event
all,Microsoft-Windows-PowerShellCore/Operational,pwsh,40970,Script Block Logging (PowerShell Core),,PowerShell 7 event
all,Microsoft-Windows-PowerShellCore/Operational,pwsh,40971,Pipeline Execution / Engine Invocation Details,,PowerShell 7 event
all,Microsoft-Windows-PowerShellCore/Operational,pwsh,40972,Command Invocation (PowerShell Core),,PowerShell 7 event
all,Microsoft-Windows-RemoteDesktopServices-RDPCoreTS/Operational,rdp,98,Successful Connections,Source IP - Session ID,
all,Microsoft-Windows-RemoteDesktopServices-RDPCoreTS/Operational,rdp,131,Connection Attempts,Source IP,
all,Microsoft-Windows-SmbClient/Security,smb,31001,Failed logon to destination,Destination Host Name - User Name for failed logon - Reason code for failed destination logon,
all,Microsoft-Windows-Sysmon/Operational,sysmon|execution,1,Process creation,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,2,Process changed file creation time,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,3,Network connection detected,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,4,Sysmon service state changed,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,5,Process terminated,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,6,Driver loaded,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,7,Image loaded,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,8,CreateRemoteThread,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,9,RawAccessRead,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,10,ProcessAccess,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,11,FileCreate,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,12,RegistryEvent (Object create and delete),,
all,Microsoft-Windows-Sysmon/Operational,sysmon,13,RegistryEvent (Value set),,
all,Microsoft-Windows-Sysmon/Operational,sysmon,14,RegistryEvent (Key and value rename),,
all,Microsoft-Windows-Sysmon/Operational,sysmon,15,FileCreateStreamHash,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,16,Sysmon config state changed,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,17,Pipe created,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,18,Pipe connected,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,19,WmiEventFilter activity detected,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,20,WmiEventConsumer activity detected,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,21,WmiEventConsumerToFilter activity detected,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,22,DNSEvent,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,23,FileDelete,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,24,ClipboardChange,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,25,Process Tampering,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,26,File Delete Logged,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,27,File Block Executable,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,28,File Block Shredding,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,29,File Executable detected,,
all,Microsoft-Windows-Sysmon/Operational,sysmon,225,Error,,
all,Microsoft-Windows-TaskScheduler/Operational,schedtask,106,Scheduled task created/changed,,
all,Microsoft-Windows-TaskScheduler/Operational,schedtask,140,Scheduled task updated,,
all,Microsoft-Windows-TaskScheduler/Operational,schedtask,141,Scheduled task deleted,,
all,Microsoft-Windows-TaskScheduler/Operational,schedtask,200,Scheduled task executed,,
all,Microsoft-Windows-TaskScheduler/Operational,schedtask,201,Scheduled task completed,,
all,Microsoft-Windows-TerminalServices-LocalSessionManager/Operational,rdp,21,Remote Desktop Services: Session logon succeeded,Source IP - Logon User Name,
all,Microsoft-Windows-TerminalServices-LocalSessionManager/Operational,rdp,22,Remote Desktop Services: Shell start notification received,Source IP - Logon User Name,
all,Microsoft-Windows-TerminalServices-LocalSessionManager/Operational,rdp,24,Remote Desktop Services: Session has been disconnected:,Source IP - Logon User Name,
all,Microsoft-Windows-TerminalServices-LocalSessionManager/Operational,rdp,25,Session reconnection succeeded,Source IP - Logon User Name,
all,Microsoft-Windows-TerminalServices-LocalSessionManager/Operational,rdp,41,Begin session arbitration,Logon User Name,
